2025-03-06 18:42:45,515 - === Application Started ===
2025-03-06 18:42:45,515 - Log file created at: /home/maksich/Documents/GridOff/backend/performance_log.txt
2025-03-06 18:42:46,235 - Model loaded in 0.72 seconds
2025-03-06 18:42:46,305 - System: Linux 6.8.0-52-generic
2025-03-06 18:42:46,306 - CPU: x86_64
2025-03-06 18:42:46,306 - Memory: 62.5 GB total, 55.1 GB available
2025-03-06 18:42:46,306 - Cleanup: NPCs 0->0, Cache 0->0, Cache hits: 0, misses: 0, Hit rate: N/A
2025-03-06 18:42:46,308 - Starting Flask server on port 5000
2025-03-06 18:42:46,425 - NPC created: Albert - Villager, Type: villager
2025-03-06 18:42:46,426 - NPC created: Zdravko - Warlord, Type: warlord
2025-03-06 18:42:46,426 - NPC created: Andrej - Villager, Type: villager
2025-03-06 18:42:46,426 - NPC created: Albert - Smuggler, Type: smuggler
2025-03-06 18:42:46,426 - NPC created: Janez - Soldier, Type: soldier
2025-03-06 18:42:46,426 - NPC created: Janez - Villager, Type: villager
2025-03-06 18:42:46,426 - NPC created: Maks - Smuggler, Type: smuggler
2025-03-06 18:42:46,426 - NPC created: Albert - Soldier, Type: soldier
2025-03-06 18:42:46,426 - NPC created: Charles - Villager, Type: villager
2025-03-06 18:42:46,427 - NPC created: Arnold - Villager, Type: villager
2025-03-06 18:42:46,427 - NPC created: Zdravko - Soldier, Type: soldier
2025-03-06 18:42:46,427 - NPC created: Marko - Soldier, Type: soldier
2025-03-06 18:42:46,427 - NPC created: Oliver - Soldier, Type: soldier
2025-03-06 18:42:46,427 - NPC created: Yuri - Warlord, Type: warlord
2025-03-06 18:42:46,427 - NPC created: Charles - Warlord, Type: warlord
2025-03-06 18:42:46,427 - NPC created: Arnold - Warlord, Type: warlord
2025-03-06 18:42:46,427 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:42:48,445 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:42:50,461 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:42:52,477 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:42:54,490 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:42:56,508 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:42:58,597 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:43:00,615 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:43:02,630 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:43:04,651 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:43:06,665 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:43:08,684 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:43:10,687 - update_npcs: 0.00s, 18 NPCs
2025-03-06 18:43:12,699 - update_npcs: 0.00s, 18 NPCs
